### based on codes available for free here: http://vag-codes.info/files/options/vag-option-codes.xlsx
### VAG option codes		http://vag-codes.info/
### 14288 option codes with description		
### 297 new codes		
### updated 13.01.2018		
### code	group	description
#38	MOT	4-cyl. turbo dies. eng. 1.6 l/92 kW (4V)TDI common rail ABT power enhancement
#7U	STR	Engine start and remote start feature without keyless locking and starting system
#AT	BRS	
#B1	BRS	ESC special vehicle 1
#B2	BRS	ESC special vehicle 2
#B3	BRS	ESC special vehicle 3
#B4	BRS	ESC special vehicle 4
#B5	BRS	ESC special vehicle 5
#B6	BRS	ESC special vehicle 6
#B7	BRS	ESC special vehicle 7
#B8	BRS	ASR application matched to special-purpose vehicle 1
#B9	BRS	ASR application matched to special-purpose vehicle 2
#BA	BRS	ESC special vehicle 8
#BB	BRS	ESC special vehicle 9
#BC	BRS	ESC special vehicle 10
#BD	BRS	ESC special vehicle 11
#BE	BRS	ESC special vehicle 12
#BF	BRS	ESC special vehicle 13
#BG	BRS	ESC special vehicle 14
#BH	BRS	ESC special vehicle 15
#BJ	BRS	ESC special vehicle 16
#BK	BRS	ESC special vehicle 17
#BL	BRS	ESC special vehicle 18
#BM	BRS	ESC special vehicle 19
#BN	BRS	ESC special vehicle 20
#BP	BRS	ESC special vehicle 21
#D0	AHV	Trailer hitch aftermarket equipment, removable and lockable
#D1	AHV	Trailer hitch aftermarket equipment, mechanically swiveling, manual
#D2	AHV	Trailer hitch aftermarket equipment, power-folding
#D3	AHV	Trailer hitch aftermarket equipment, USA
#D4	AHV	Trailer hitch aftermarket equipment, Australia
#D5	AHV	Trailer hitch aftermarket equipment, mechanically swiveling with reduced towing capacity
#D6	AHV	Trailer hitch aftermarket equipment, removable with reduced ventilation capacity
#D7	AHV	Trailer hitch aftermarket equipment, power-swiveling with reduced ventilationcapacity
#D8	AHV	Trailer hitch aftermarket equipment, rigid
#D9	AHV	Trailer hitch aftermarket equipment, power-swiveling with maneuvering system
#E1	AHV	Trailer hitch aftermarket equipment, electr. swiveling w/ reduced ventilationcapacity and maneuvering system
#E2	AHV	Trailer hitch aftermarket equipment, without trailer control module
#E3	AHV	Retrofitting of trailer hitch, with reduced ventilation capacity for Australia/New Zealand
#H1	REI	New coding of instrument cluster due to changed tires, new 245/75 R16
#H2	REI	New coding of instrument cluster due to changed tires, new 215/85 R16
#H3	REI	New coding of instrument cluster due to changed tires, new 285/75 R16
#I2	TKV	Recoding of 4I2 with activated auto-lock feature
#I3	TKV	Recoding of 4k3 with activated auto-lock feature
#J1	HES	Coding for rear spoiler fixed spoiler
#K1	FLS	Recoding 8K1 deactivation separate daytime running lights
#K3	FLS	Recoding 8K3 deactivation separate daytime running lights
#L1	ONL	Online Connectivity Unit deactivation without head unit coding
#L5	ONL	Online Connectivity Unit deactivation with head unit coding
#M9	ZUH	Retrofitting of fuel-fired parking heater with radio remote control
#N3	SWS	Reactivation of the rain sensor
#SK	SBR	LED tail lamp assembly as aftermarket equipment
#U2	STR	Aftermarket equipment remote start feature recoding of 7U2
#W3	CPD	Recoding of IW3
#X5	ESZ	Recoding GX5, decoding of the warning signal
#XI	ASE	Ext. mirror, auto-dimming, el. folding/ adjust., separately heated, w/ front pass. exterior mirror lowering function
#ZP	BAV	Disk brakes in front 15-inch " PC57-25/14 Jurid 200-FF
7BV	ZBR	Snow tires 205/55 R16 H on alloy wheels 6J x 16, ET31 10-spoke style
7BW	ZBR	Snow tires 185/60 R14 ET43 on steel wheels 6J x 14 without cover
7BX	ZBR	Snow tires 185/60 R14 ET43 on steel wheels 6J x 14 with cover
7BY	ZBR	Snow tires 205/55 R16 94H on alloy wheels 6J x 16 with cover
7BZ	ZBR	Snow tires 205/55 R16 94H on alloy wheels 6J x 16 with cover and support ring
7C0	ESG	Without entry grab handle on rear pillar
7C1	ESG	Entry grab handle on rear pillar left
7C2	ESG	Entry grab handle on rear pillar right
7C3	ESG	Entry grab handles on rear pillar left and right
7CA	AGM	Emission standard LEV 3/Tier 3 160
7CB	AGM	Emission standard LEV 3/Tier 3 30
7CC	AGM	Emission standard LEV 3/Tier 3 20
7CD	AGM	Emission standard LEV 3/Tier 3 50
7CE	AGM	Emission standard LEV 3/Tier 3 70
7CF	AGM	Emission standard, EU6W Korea
7CG	AGM	Emission standard JP-GT
7CH	AGM	Emission standard JP-GT_OBD
7CI	AGM	Emission standard EU6 ZG/H/I
7CJ	AGM	Emission standard EU6 ZJ/K/L
7CK	AGM	Emission standard, C6a
7CL	AGM	Emission standard, EU6W Korea 25
7CM	AGM	Emission standard, C6b
7D0	CDW	CD changer and mini disc changer
7D1	CDW	CD changer and DVD player
7D2	CDW	Mini disc changer and DVD player
7D3	CDW	CD changer
7D4	CDW	Preparation
7D5	CDW	DVD player
7D6	CDW	2 CD changer
7D7	CDW	CD changer and DVD player
7D8	CDW	CD player and MEDIA-IN jack
7D9	CDW	Preparation
7DA	ZBR	Snow tires 205/55 R16 94H XL M&S on alloy wheels 6J x 16 H2, ET45
7DB	ZBR	Snow tires 205/50 R17 93H XL on alloy wheels 6J x 17 H2, ET45
7DC	ZBR	Snow tires 195/65 R15 91H M+S on steel wheels 6J x 15, ET47
7DD	ZBR	Snow tires 195/65 R15 91H M+S on steel wheels 6J x 15, ET47 with wheel trim
7DE	ZBR	Snow tires 205/50 R17 on alloy wheels 6J x 17
7DF	ZBR	Snow tires 205/50 R17 93H M+S
7DG	ZBR	Snow tires 205/55 R16 91H on steel wheels 6J x 16, ET50
7DH	ZBR	Snow tires 205/55 R16 91H on steel wheels 6J x 16, ET50
7DJ	ZBR	Additional snow tires
7DK	ZBR	Additional snow tires
7DL	ZBR	Snow tires 205/55 R16 94H on alloy wheels 6J x 16, ET51
7DM	ZBR	Additional snow tires
7DN	ZBR	Snow tires 205/55 R16H on alloy wheels 6J x 16, ET40
7DP	ZBR	Snow tires 185/55 R15 86T on steel wheels 6J x 15 without cover
7DQ	ZBR	Snow tires 185/55 R15 86T on steel wheels 6J x 15 with cover
7DR	ZBR	Snow tires 205/60 R16 H92 on alloy wheels 7J x 16, ET42
7DS	ZBR	Additional snow tires
7DT	ZBR	Snow tires 225/55 R16 H xl on alloy wheels 7J x 16, ET42
7DU	ZBR	Additional snow tires
7DV	ZBR	Additional snow tires
7DW	ZBR	Additional snow tires
7DX	ZBR	Snow tires with PAX system 215/680 R480 A 98H, on alloy wheels 215 x 480A 7-spoke style, ET20
7DY	ZBR	Additional snow tires
7DZ	ZBR	Snow tires with PAX system 205/640-440 on alloy wheels 205 x 440 5-spoke S style
7E0	WSA	Without heat accumulator/auxiliary heater
7E1	WSA	High-voltage PTC
7E2	WSA	Heated crankcase ventilation system
7E3	WSA	Sheathed type glow plug heater
7E4	WSA	With two high-voltage PTC heaters
7E5	WSA	Sheathed type glow plug and crankcase ventilation system heater
7E6	WSA	Electric auxiliary air heater
7E7	WSA	Electric auxiliary air heater
7E8	WSA	Auxiliary heater for coolant circuit with anti-snow system
7EA	ZBR	Additional snow tires
7EB	ZBR	Snow tires 195/60 R16 on steel wheels
7EC	ZBR	Snow tires 195/60 R16 on steel wheels with hub caps
7ED	ZBR	Additional snow tires
7EE	ZBR	Snow tires 205/55 R16 91H on alloy wheels, ET?? w/hub cap, for extended mobility system
7EF	ZBR	Snow tires 205/55 R16 91H on alloy wheels, ET?? w/o hub cap, for ext. mobility system
7EG	ZBR	Additional snow tires
7EH	ZBR	Additional snow tires
7EJ	ZBR	Additional snow tires
7EK	ZBR	Snow tires w/ PAX system 225/650 R460 A on alloy wheels 225 x 460A 6-spoke style, ET46
7EL	ZBR	Snow tires w/ PAX system 225/650 R480 A on alloy wheels 215 x 480A 5-spoke style, ET45
7EM	ZBR	Snow tires with PAX system 245/700 R470 AC 116T, on alloy wheels 7-spoke style, ET41
7EN	ZBR	Snow tires 205/55 R16 H on steel wheels, ET42 with hub caps
7EP	ZBR	Snow tires 205/55 R16 94H on steel wheels 7J x 16 ET37
7EQ	ZBR	Snow tires 205/55 R16 94H on steel wheels 7J x 16 ET37 with hub cap
7ER	ZBR	Snow tires 205/55 R16 94H on forged alloy wheels 7J x 16, ET45 with run flat ring
7ES	ZBR	Additional snow tires
7ET	ZBR	Snow tires 185/55 R15 86T/H on steel wheels 6J x 15 without cover
7EU	ZBR	Snow tires 185/55 R15 86T/H on steel wheels 6J x 15 with cover
7EV	ZBR	Snow tires 155/65 R15 T on steel wheels 5J x 15 ET28
7EW	ZBR	Snow tires 205/50 R17 91H on alloy wheels 6J x 17
7EX	ZBR	Snow tires 185/60 R15 84 (88) T/H on steel wheels 6J x 15 ET38 (5-hole) with wheel trim
7EY	ZBR	Snow tires 205/50 R17 on alloy wheels 5.5J x 17, ET36
7EZ	ZBR	Additional snow tires
7F0	SAG	Leather gearshift knob with titanium appearance
7F1	SAG	Plastic gearshift knob
7F2	SAG	Wooden gearshift knob
7F3	SAG	Wooden gearshift knob
7F4	SAG	Sports gearshift knob
7F5	SAG	Gearshift knob (special edition)
7F6	SAG	Wooden gearshift knob
7F7	SAG	Wooden gearshift knob
7F8	SAG	Plastic gearshift knob/handle
7F9	SAG	Plastic/leather gearshift knob/handle
7FA	ZBR	Without additional tires
7FB	ZBR	Additional snow tires
7FC	ZBR	Additional snow tires
7FD	ZBR	Additional snow tires
7FE	ZBR	Additional snow tires
7FF	ZBR	Additional snow tires
7FG	ZBR	Additional snow tires
7FH	ZBR	Additional tires
7FJ	ZBR	Additional tires
7FK	ZBR	Additional tires
7FL	ZBR	Additional tires
7G0	FVS	Without preparation for VTS (vehicle tracking system)
7G1	FVS	Preparation for VTS (vehicle tracking system)
7G2	FVS	Preparation for VTS with driver card (vehicle tracking system)
7G3	FVS	Preparation for VTS with driver card andalarm system connection (vehicle tracking system)
7G4	FVS	Vehicle tracking system with driver card
7G5	FVS	Preparation for VTS with driver card, alarm system connection and restart prevention (vehicle tracking system)
7G6	FVS	Preparation for VTS with alarm system connection (vehicle tracking system)
7G7	FVS	Preparation for VTS with restart prevention (vehicle tracking system)
7G8	FVS	Preparation for VTS with alarm system connection and restart prevention (vehicle tracking system)
7G9	FVS	Interface for locating assistant
7GA	AGM	Emission standard LEV2
7GB	AGM	Emission standard ULEV2
7GC	AGM	Emission standard TIER1 for ME with OBD
7GD	AGM	Emission standard EU4 CN without EOBD with hardware modification
7GE	AGM	Emission standard EU4 JP
7GF	AGM	Emission standard EU3 without EOBD with hardware modification
7GG	AGM	Emission standard EU4, DPF
7GH	AGM	Emission standard EU4 without EOBD without hardware modification
7GJ	AGM	Emission standard Tier2
7GK	AGM	Emission standard TIER2 ME
7GL	AGM	Emission standard TIER1 for BR without OBD
7GM	AGM	Emission standard EU3 without EOBD without hardware modification
7GN	AGM	Emission standard EU4, DPF preparation
7GP	AGM	Emission standard TIER1 for BR with OBD
7GQ	AGM	Emission standard, EURO IV, DPF
7GR	AGM	Emission standard, C5 stage 2
7GT	AGM	Emission standard FTP 75
7GU	AGM	Emission standard MVEG1
7GV	AGM	EPA TIER 3
7GW	AGM	BSO II
7GX	AGM	Marine 94/25 EG
7GY	AGM	Emission standard Appendix 25
7GZ	AGM	Emission standard, not designated
7H0	GBA	Without speed limiter
7H1	GBA	Speed limiter up to 90 km/h
7H2	GBA	Speed limiter up to 100 km/h
7H3	GBA	Speed limiter up to 120 km/h
7HA	LUM	Without leather
7HB	LUM	Leather variant 1
7HC	LUM	Leather variant 2
7HD	LUM	Leather variant 3
7HE	LUM	Leather variant 4
7HF	LUM	Leather variant 5
7HG	LUM	Leather variant 6
7HI	AGM	Emission standard EU5J-SK
7I0	FVS	Vehicle tracking system
7I1	FVS	Vehicle tracking system with restart prevention
7I2	FVS	Vehicle tracking system
7I3	FVS	Real Time Monitor (RTM)
7IA	AED	Vehicle class differentiation 8W0/8WA
7IB	AED	Vehicle class differentiaton 8WB/8WC/ 8WF
7IC	AED	Vehicle class differentiation -608-
7ID	AED	Vehicle class differentiation -621-
7IE	AED	Vehicle class differentiation -5GD-
7IF	AED	Vehicle class differentiation FZ0/FZS
7IG	AED	Vehicle class differentiation -760-
7IH	AED	Vehicle class differentiation 9Y0-
7II	AED	Vehicle class differentiation -5GM-
7IJ	AED	Vehicle class differentiation FY0-
7IK	AED	Vehicle class differentiation -8WD-
7IL	AED	Vehicle class differentiation -2L0-
7IM	AED	Vehicle class differentiation -5EF-
7IN	AED	Vehicle class differentiation -380-
7IP	AED	Vehicle class differentiation -971-
7IQ	AED	Vehicle class differentiation 4SA-
7IR	AED	Vehicle class differentiation -7R0-
7IS	AED	Vehicle class differentiation 23B-
7IV	AED	Vehicle class differentiation 4N0/4N4/4N6
7IW	AED	Vehicle class differentiation -3F0-
7IX	AED	Vehicle class differentiation -550-
7IY	AED	Vehicle class differentiation 6C0- for build status South Africa (national)
7IZ	AED	Vehicle class differentiation -55N-
7J0	ZEL	Without additional ventilation system
7J1	ZEL	Additional ventilation system
7JA	AED	Vehicle class differentiation -220-
7JB	AED	Vehicle class differentiation -230-
7JC	AED	Vehicle class differentiation -240-
7JD	AED	Vehicle class differentiation -250-
7JE	AED	Vehicle class differentiation 1TD
7JF	AED	Vehicle class differentiation 2KD
7JG	AED	Vehicle class differentiation 5W0
7JH	AED	Vehicle class differentiation -420-
7JI	AED	Vehicle class differentiation -604-
7JJ	AED	Vehicle class differentiation 5N0-
7JK	AED	Vehicle class differentiation 7N0
7JL	AED	Vehicle class differentiation 8R0-
7JM	AED	Vehicle class differentiation 8T0
7JN	AED	Vehicle class differentiation 5ZR
7JP	AED	Vehicle class differentiation 5V0
7JQ	AED	Vehicle class differentiation 5J0
7JR	AED	Vehicle class differentiation 1KD
7JS	AED	Vehicle class differentiation 5D0
7JT	AED	Vehicle class differentiation 3CD
7JU	AED	Vehicle class differentiation 8F0
7JV	AED	Vehicle class differentiation 4G0/4G8
7JW	AED	Vehicle class differentiation 4H0
7JX	AED	Vehicle class differentiation 5U0
7JY	AED	Vehicle class differentiation -180-
7JZ	AED	Vehicle class differentiation -150-
7K0	RDK	Without direct tire pressure monitoring system
7K1	RDK	Direct tire pressure monitoring system
7K2	RDK	Direct tire pressure monitoring system
7K3	RDK	Direct tire pressure monitoring system, frequency 433 MHz High
7K4	RDK	Direct tire pressure monitoring system, frequency 315 MHz High
7K5	RDK	Direct tire pressure monitoring system, frequency 315 MHz with reduced transmitter power output
7K6	RDK	Indirect tire pressure monitoring system
7K7	RDK	Direct tire pressure monitoring system, frequency 433 MHz Basic
7K8	RDK	Direct tire pressure monitoring system, frequency 315 MHz Basic
7K9	RDK	Indirect tire pressure monitoring system
7KA	AED	Vehicle class differentiation 6J0
7KB	AED	Vehicle class differentiation -130-
7KC	AED	Vehicle class differentiation -260-
7KD	AED	Vehicle class differentiation 3S0
7KE	AED	Vehicle class differentiation 3Y0
7KF	AED	Vehicle class differentiation
7KG	AED	Vehicle class differentiation 5T0
7KH	AED	Vehicle class differentiation 3E0
7KI	AED	Vehicle class differentiation 9I0
7KJ	AED	Vehicle class differentiation 7P0
7KK	AED	Vehicle class differentiation -160-
7KL	AED	Vehicle class differentiation 5C0
7KM	AED	Vehicle class differentiation -710-
7KN	AED	Vehicle class differentiation -5L0-
7KP	AED	Vehicle class differentiation 5JD
7KQ	AED	Vehicle class differentiation 601/602/622
7KR	AED	Vehicle class differentiation 8X0
7KS	AED	Vehicle class differentiation 3R0
7KT	AED	Vehicle class differentiation -400-
7KU	AED	Vehicle class differentiation 3TD
7KV	AED	Vehicle class differentiation -8U0/8UD-
7KW	AED	Installation differentiation for build status of supply scope Jungheinrich Co.
7KX	AED	Installation differentiation for build status of supply scope Still Co.
7KY	AED	Installation differentiation for build status of supply scope Linde Co.
7KZ	AED	Installation differentiation for build status of supply scope Still Co.
7L0	SNA	Without inertia benefit system/ deceleration fuel cut-off/idle stop valve
7L1	SNA	Regenerative braking with 12.2 V
7L2	SNA	Start/stop system with "engine off whilecoasting" feature
7L3	SNA	Without start/stop system without regenerative braking
7L4	SNA	Start/stop system
7L5	SNA	Start/stop system (with battery sensor)
7L6	SNA	Start/stop system with regenerative braking
7L7	SNA	Regenerative braking with 12.5 V
7L8	SNA	Start/stop system with regenerative braking
7L9	SNA	Start/stop system / global market
7LA	AED	Vehicle class differentiation -1ZU-
7LB	AED	Vehicle class differentiation -5JF-
7LC	AED	Vehicle class differentiation -5JU-
7LD	AED	Vehicle class differentiation 5ND-
7LE	AED	Vehicle class differentiation -35D-
7LF	AED	Vehicle class differentiation -5F0-
7LG	AED	Vehicle class differentiation -5G0-
7LH	AED	Vehicle class differentiation -5KK-
7LI	AED	Vehicle class differentiation -5FP-
7LJ	AED	Vehicle class differentiation -8V0/8VC-
7LK	AED	Vehicle class differentiation -6S0-
7LL	AED	Vehicle class differentiation -42A-
7LM	AED	Vehicle class differentiation -5E0-
7LN	AED	Vehicle class differentiation -6R0-6RS for build status South Africa (national)
7LP	AED	Vehicle class differentiation -560-
7LQ	AED	Vehicle class differentiation -56D-
7LR	AED	Vehicle class differentiation -60D-
7LS	AED	Vehicle class differentiation -470-
7LT	AED	Vehicle class differentiation
7LU	AED	Vehicle class differentiation -2Z0-
7LV	AED	Vehicle class differentiation
7LW	AED	Vehicle class differentiation -16D-
7LX	AED	Vehicle class differentiation -5GP-
7LY	AED	Vehicle class differentiation -5EP-
7LZ	AED	Vehicle class differentiation-390/4W0-
7M0	EIL	Plastic scuff plates in door apertures
7M1	EIL	Scuff plates in door apertures with metal cores
7M2	EIL	Scuff plates in door apertures with "S" badge
7M3	EIL	Scuff plates in door apertures
7M4	EIL	Scuff plates in door apertures
7M5	EIL	Without protective film for scuff plate
7M6	EIL	Protective film for scuff plate
7M7	EIL	Scuff plates in door apertures
7M8	EIL	Scuff plates in door apertures
7M9	EIL	Scuff plates in door apertures
7MA	AGM	Emission standard TIER2 BR
7MB	AGM	Emission standard EU4 plus
7MC	AGM	Emission standard EU3 CN with EOBD with hardware modification
7MD	AGM	Emission standard EU4 CN with EOBD with hardware modification
7ME	AGM	Emission standard EU6 diesel
7MF	AGM	Emission standard Euro V
7MG	AGM	Emission standard EU5
7MH	AGM	Emission standard EU4 CN with EOBD without hardware modification
7MJ	AGM	Emission standard EU5 plus
7MK	AGM	Emission standard EU6 IUPR diesel
7ML	AGM	Emission standard EU4 IND Bharat Stage 4
7MM	AGM	Emission standard EU6 plus
7MN	AGM	Emission standard EU5 for Japan
7MP	AGM	Emission standard EURO VI
7MQ	AGM	Emissions standard EU5 mod
7MR	AGM	Emission standard PL6 BR
7MS	AGM	Emission standard EU5 CN
7MT	AGM	Emission standard EU4 without OBD
7MU	AGM	Emission standard LEV 3/Tier 3 125
7MV	AGM	Emission standard EU6 ZD/E/F
7MW	AGM	Emission standard, EU6 JP (green tax)
7MX	AGM	Emission standard, Proconve P7
7MY	AGM	Emission standard 3a_tier4i
7MZ	AGM	Emission standard 3b_tier4f
7N0	ALS	Without overhead storage compartment
7N1	ALS	Overhead storage compartment
7N2	ALS	Spectacle storage compartment/bracket
7N3	ALS	Comfort overhead storage compartment
7N4	ALS	Tray
7N5	ALS	Without storage compartment
7N6	ALS	Overhead storage compartment
7N7	ALS	Storage compartment on headliner and conversation mirror
7N8	ALS	Comfort storage compartment on headlinerand conversation mirror
7N9	ALS	Storage compartment on headliner and conversation mirror
7P0	LOR	Without lumbar support in seat backrests
7P1	LOR	Power-adjustable lumbar support in frontseats
7P2	LOR	Power-adjustable lumbar support in frontseats
7P3	LOR	Power-adjustable lumbar support in frontseats and outer rear seats
7P4	LOR	Manually adjustable lumbar support in front seats
7P5	LOR	Manually adjustable lumbar support for left front seat
7P6	LOR	Manually adjustable lumbar support for right front seat
7P7	LOR	Power-adjustable lumbar support for leftfront seat
7P8	LOR	Power-adjustable lumbar support for right front seat
7P9	LOR	Power-adjustable lumbar support
7PA	PGK	Platform group class 1
7PB	PGK	Platform group class 2
7PC	PGK	Platform group class 3
7PD	PGK	Platform group class 4
7PE	PGK	Platform group class 5
7PF	PGK	Platform group class 6
7PG	PGK	Platform group class 7
7PH	PGK	Platform group class 8
7PJ	PGK	Platform group class 9
7Q0	NAV	Without navigation device
7Q1	NAV	Navigation system
7Q2	NAV	Navigation system with color screen
7Q3	NAV	Navigation system for Japan (MID)
7Q4	NAV	Preparation for navigation system
7Q5	NAV	Navigation system with black-and-white screen
7Q6	NAV	Navigation system for Japan, color screen
7Q7	NAV	Navigation system with color screen
7Q8	NAV	Navigation system for NAR
7Q9	NAV	Navigation system
7QA	CDR	Without CD/DVD for navigation
7QB	CDR	CD ROM (Germany)
7QC	CDR	Integrated data storage device for Korea
7QD	CDR	CD ROM (Switzerland)
7QE	CDR	SD card (Europe) version 2
7QF	CDR	CD ROM (Belgium/Luxembourg)
7QG	CDR	CD ROM (The Netherlands)
7QH	CDR	CD ROM (France)
7QI	CDR	CD ROM (Poland)
7QJ	CDR	CD ROM (Greece)
7QK	CDR	CD ROM (Italy)
7QL	CDR	Integrated data storage device for Western Europe
7QM	CDR	Integrated data storage device for Eastern Europe
7QN	CDR	CD ROM (Spain)
7QP	CDR	CD ROM (Benelux countries)
7QQ	CDR	CD ROM (Spain/Portugal)
7QR	CDR	CD ROM Scandinavia (Denmark, Sweden)
7QS	CDR	CD ROM (Alps region)
7QT	CDR	CD ROM (Europe)
7QU	CDR	CD ROM (Austria/Switzerland)
7QV	CDR	CD ROM (South Africa)
7QW	CDR	CD ROM (Ireland)
7QX	CDR	CD ROM (NAR)
7QY	CDR	CD ROM (Czech Republic)
7QZ	CDR	CD ROM (AGCC)
7R0	SLE	Without side lamps
7R1	SLE	Preparation for side marker lamps
7R2	SLE	Side turn signals and preparation for side marker lamps
7R3	SLE	Side turn signals (white)
7R4	SLE	Side turn signals and marker lights (turn signals with white lens)
7R5	SLE	Side turn signals (white) with additional turn signals
7R6	SLE	Side turn signals in exterior mirrors
7R7	SLE	Side marker lamps and additional turn signals in exterior mirrors
7R8	SLE	Preparation for side marker lamps
7RA	CDR	CD ROM (Australia)
7RB	CDR	CD ROM (Hong Kong)
7RC	CDR	CD ROM (Singapore)
7RD	CDR	CD ROM (Taiwan)
7RE	CDR	SD card (Europe)
7RF	CDR	CD ROM (Great Britain/Ireland)
7RG	CDR	DVD (China)
7RH	CDR	DVD (AGCC)
7RI	CDR	CD ROM (Turkey)
7RJ	CDR	DVD (Australia)
7RK	CDR	DVD (Europe-East)
7RL	CDR	DVD (New Zealand)
7RM	CDR	DVD (Hongkong)
7RN	CDR	DVD (Taiwan)
7RP	CDR	CD ROM (Eastern Europe)
7RQ	CDR	DVD (Western Europe) without VCA Virtual Car Assistant "Virtual Quick Reference Guide CARLA"
7RR	CDR	CD ROM (Russia)
7RS	CDR	DVD (NAR)
7RT	CDR	DVD (Europe)
7RU	CDR	DVD (Japan)
7RV	CDR	DVD (Russia)
7RW	CDR	DVD (South America)
7RX	CDR	DVD (South Africa)
7RY	CDR	DVD (Malaysia/Singapore)
7RZ	CDR	Data storage device for Turkey, integrated
7S0	WIN	Without wind deflector
7S1	WIN	Wind deflector
7SA	SPH	Without hardware for menu text/audio response
7SB	SPH	Menu text/voice output, German/English (hardware for language and display)
7SC	SPH	Menu text/voice output, German/French (hardware for language and display)
7SD	SPH	Menu text/voice output, Dutch/English (hardware for language and display)
7SE	SPH	Menu text/voice output, Spanish/English (hardware for language and display)
7SF	SPH	Menu text/voice output, Dutch/French (hardware for language and display)
7SG	SPH	Menu text/voice output, French/English (hardware for language and display)
7SH	SPH	Menu text/voice output, German/Italian (hardware for language and display)
7SJ	SPH	Menu text/voice output, Spanish/English (US) (hardware for language and display)
7SK	SPH	Menu text/voice output, French/English (US) (hardware for language and display)
7SL	SPH	Menu text/voice output, Danish/English (hardware for language and display)
7SM	SPH	Menu text/voice output, Swedish/English (hardware for language and display)
7SN	SPH	Menu text/voice output, Japanese/English(hardware for language and display)
7SP	SPH	Menu text/voice output, German/Spanish (hardware for language and display)
7SQ	SPH	Menu text/voice output, German/Dutch (hardware for language and display)
7SR	SPH	Menu text/voice output, German/Portuguese (hardware for language and display)
7SS	SPH	Menu text/voice output, English/Italian (hardware for language and display)
7ST	SPH	Menu text/voice output, English/Portuguese (hardware for language and display)
7SU	SPH	Menu text/voice output, French/Spanish (hardware for language and display)
